File Name,Array Size,Actual Comparisons,Estimated Theoretical Comparisons,Sorting Time (ms)
SWK.csv,10972,190733,189845,0.547375
CRL.csv,5848,96321,95355,0.268792
MU.csv,9907,171004,171081,0.49925
TRV.csv,12065,209408,209097,0.633334
BRK-B.csv,6889,112878,113759,0.293292
L.csv,10972,189747,190016,0.605375
AEP.csv,15537,272009,273896,0.751625
CI.csv,10457,183899,181691,0.512292
DOW.csv,1136,16537,16231,0.040875
CDW.csv,2577,40017,39666,0.104417
BALL.csv,12758,223664,223747,0.586041
JNJ.csv,15537,272090,273751,0.735833
WM.csv,8882,154300,154479,0.433208
DOV.csv,10972,190273,190083,0.528167
CRM.csv,4846,79935,78922,0.212333
PGR.csv,10972,190312,189967,0.528792
WAT.csv,7008,117101,115723,0.330583
IEX.csv,8643,151228,150732,0.402917
BWA.csv,7581,127044,125721,0.347375
LRCX.csv,9926,170912,171620,0.504917
BLK.csv,6032,98837,98439,0.265083
PPL.csv,10972,191034,189973,0.510375
